rank_overall,taxon_id,us_obs_count,iconic_taxon,common_name,scientific_name
166,118503,16467,Insecta,Virginia Creeper Sphinx,Darapsa myron
167,50880,16393,Insecta,Lorquin's Admiral,Limenitis lorquini
168,124431,16393,Insecta,Spotless Lady Beetle,Cycloneda sanguinea
169,567666,16357,Insecta,Two-spotted Longhorn Bee,Melissodes bimaculatus
170,214185,16347,Mollusca,Button's Banana Slug,Ariolimax buttoni
171,13633,16330,Aves,Oak Titmouse,Baeolophus inornatus
172,126712,16299,Insecta,Eastern Dobsonfly,Corydalus cornutus
173,39280,16295,Reptilia,Northern Curly-tailed Lizard,Leiocephalus carinatus
174,117308,16293,Fungi,Green-spored Parasol,Chlorophyllum molybdites
175,59115,16212,Actinopterygii,Western Mosquitofish,Gambusia affinis
176,16010,16210,Aves,Ash-throated Flycatcher,Myiarchus cinerascens
177,117221,16179,Insecta,Common Eastern Velvet Ant,Dasymutilla occidentalis
178,118930,16120,Insecta,Yellow-striped Armyworm Moth,Spodoptera ornithogalli
179,126215,16097,Insecta,Four-toothed Mason Wasp,Monobia quadridens
180,118914,16082,Insecta,Reakirt's Blue,Echinargus isola
181,127597,16067,Plantae,woodland stonecrop,Sedum ternatum
182,19975,16051,Aves,Burrowing Owl,Athene cunicularia
183,202861,16007,Mollusca,Milk Snail,Otala lactea
184,55887,15984,Insecta,California Gall Wasp,Andricus quercuscalifornicus
185,1081332,15983,Insecta,Umber Skipper,Lon melane
186,7019,15978,Aves,Greater White-fronted Goose,Anser albifrons
187,62806,15970,Mollusca,California Mussel,Mytilus californianus
188,53843,15952,Insecta,Western Pygmy-Blue,Brephidium exilis
189,1455147,15897,Plantae,Little Brown Jugs,Asarum arifolium
190,60342,15750,Reptilia,Western Ribbon Snake,Thamnophis proximus
191,9357,15693,Aves,Bullock's Oriole,Icterus bullockii
192,277657,15659,Plantae,leatherleaf mahonia,Berberis bealei
193,105098,15636,Insecta,Pharaoh Cicada,Magicicada septendecim
194,14912,15611,Aves,Curve-billed Thrasher,Toxostoma curvirostre
195,27120,15571,Amphibia,Northern Two-lined Salamander,Eurycea bislineata
196,9943,15561,Aves,Black-throated Sparrow,Amphispiza bilineata
197,12936,15550,Aves,Mountain Bluebird,Sialia currucoides
198,52902,15539,Insecta,Faint-spotted Palthis Moth,Palthis asopialis
199,7486,15492,Aves,Rock Wren,Salpinctes obsoletus
200,51493,15469,Insecta,Pallid-winged Grasshopper,Trimerotropis pallidipennis
201,775410,15464,Fungi,birch polypore,Fomitopsis betulina
202,5277,15431,Aves,White-tailed Kite,Elanus leucurus
203,84950,15428,Insecta,Eight-spotted Forester Moth,Alypia octomaculata
204,198812,15425,Insecta,Northern Pearly-eye,Lethe anthedon
205,59698,15414,Animalia,By-the-wind Sailor,Velella velella
206,39566,15396,Reptilia,Florida Softshell Turtle,Apalone ferox
207,786918,15357,Fungi,Gilled Polypore,Trametes betulina
208,126831,15297,Fungi,Eastern American jack-o'-lantern,Omphalotus illudens
209,119090,15286,Insecta,Gold-marked Thread-waisted Wasp,Eremnophila aureonotata
210,1415102,15210,Plantae,Bladderpod,Cleomella arborea
211,144502,15181,Aves,Bonaparte's Gull,Chroicocephalus philadelphia
212,42391,15176,Mammalia,Bighorn Sheep,Ovis canadensis
213,56851,15174,Plantae,narrowleaf milkweed,Asclepias fascicularis
214,55746,15159,Arachnida,Goldenrod Crab Spider,Misumena vatia
215,27250,15124,Amphibia,Ensatina,Ensatina eschscholtzii
216,61355,15042,Insecta,Western Yellowjacket,Vespula pensylvanica
217,118490,15036,Insecta,Chickweed Geometer Moth,Haematopis grataria
218,84403,14976,Insecta,Red-headed Bush Cricket,Phyllopalpus pulchellus
219,129272,14933,Insecta,Chestnut Carpenter Ant,Camponotus castaneus
220,68315,14928,Arachnida,Magnolia Green Jumping Spider,Lyssomanes viridis
221,46179,14889,Mammalia,Black-tailed Prairie Dog,Cynomys ludovicianus
222,63160,14832,Insecta,Calico Pennant,Celithemis elisa
223,39556,14787,Reptilia,Spiny Softshell,Apalone spinifera
224,67752,14761,Fungi,western jack-o'-lantern,Omphalotus olivascens
225,4838,14748,Aves,Black Oystercatcher,Haematopus bachmani
226,146413,14700,Reptilia,Prairie Lizard,Sceloporus consobrinus
227,119056,14621,Arachnida,Striped Bark Scorpion,Centruroides vittatus
228,520456,14586,Insecta,Acmon Blue,Icaricia acmon
229,27184,14577,Amphibia,Northern Slimy Salamander,Plethodon glutinosus
230,6316,14530,Aves,Costa's Hummingbird,Calypte costae
231,143181,14530,Insecta,Black-bordered Lemon Moth,Marimatha nigrofimbria
232,144816,14508,Aves,Mountain Chickadee,Poecile gambeli
233,499559,14473,Plantae,Texas mountain laurel,Dermatophyllum secundiflorum
234,59651,14459,Insecta,North American Common Water Strider,Aquarius remigis
235,60214,14456,Plantae,velvetleaf,Abutilon theophrasti
236,128717,14415,Plantae,Eastern Coral Bean,Erythrina herbacea
237,121437,14409,Arachnida,Six-spotted Fishing Spider,Dolomedes triton
238,49351,14355,Plantae,Teddybear Cholla,Cylindropuntia bigelovii
239,67560,14304,Insecta,California Sister,Adelpha californica
240,49472,14221,Plantae,Snowplant,Sarcodes sanguinea
241,75858,14216,Plantae,sideoats grama,Bouteloua curtipendula
242,39659,14204,Reptilia,Green Sea Turtle,Chelonia mydas
243,133280,14180,Insecta,Versute Sharpshooter,Graphocephala versuta
